*ERROR* 	v1.7.8.8	2023/09/20 - 11:04:14: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:05:45: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:06:05: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:06:06: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:06:06: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:06:06: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:06:06: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:08:49: No template found for product_custom at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:08:49: No template found for product_custom at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:08:50: No template found for product_custom at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:08:50: No template found for product_custom at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:08:50: No template found for product_custom at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:08:50: No template found for product_custom at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:08:50: No template found for product_custom at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:08:51: No template found for product_custom at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:09:12: No template found for product at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:09:12: No template found for product at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:09:12: No template found for product at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:09:12: No template found for product at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:09:26: No template found for product at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:09:27: No template found for product at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:09:27: No template found for product at line 68 in file classes/Smarty/TemplateFinder.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:10:26: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:10:26: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:10:27: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:10:27: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:10:27: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:10:59: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:11:00: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:11:00: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:11:53: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:15:11: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:15:11: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:15:23: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:15:24: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:15:33: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:15:33: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:15:43: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:15:43: Invalid product vars at line 174 in file classes/Link.php
*ERROR* 	v1.7.8.8	2023/09/20 - 11:28:15: No template found for product at line 68 in file classes/Smarty/TemplateFinder.php
